country_code,country_name,indicator_id,indicator_name,index_id,index_name,value,year
#country+code,#country+name,#indicator+id,#indicator+name,#index+id,#index+name,#indicator+value+num,#date+year
AUS,Australia,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,8.658,2021
AUS,Australia,coef_ineq,Coefficient of human inequality,IHDI,Inequality-adjusted Human Development Index,8.829,2022
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,22.569,1990
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,21.940,1991
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,23.618,1992
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,22.680,1993
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,23.139,1994
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,22.562,1995
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,22.285,1996
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,23.112,1997
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,24.804,1998
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,24.609,1999
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,24.107,2000
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,24.111,2001
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,24.612,2002
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,25.717,2003
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,27.423,2004
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,27.223,2005
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,27.133,2006
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,27.183,2007
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,26.413,2008
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,26.464,2009
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,26.082,2010
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,26.429,2011
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,26.423,2012
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,24.865,2013
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,25.027,2014
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,24.116,2015
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,23.397,2016
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,23.799,2017
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,22.635,2018
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,20.510,2019
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,19.937,2020
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,19.494,2021
AUS,Australia,diff_hdi_phdi,Difference from HDI value (%),PHDI,Planetary pressures–adjusted Human Development Index,19.345,2022
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,17.433,1990
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,17.432,1991
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,17.432,1992
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,17.431,1993
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,17.431,1994
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,18.970,1995
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,19.512,1996
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,20.286,1997
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,20.451,1998
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,20.615,1999
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,20.780,2000
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,20.944,2001
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,21.109,2002
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,21.273,2003
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,21.438,2004
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,21.602,2005
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,21.767,2006
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,21.932,2007
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,22.096,2008
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,22.261,2009
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,22.425,2010
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,22.590,2011
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,22.754,2012
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,22.919,2013
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,23.083,2014
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,23.248,2015
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,22.856,2016
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,21.951,2017
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,20.428,2018
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,21.376,2019
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,20.939,2020
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,21.080,2021
AUS,Australia,eys,Expected Years of Schooling (years),HDI,Human Development Index,21.080,2022
AUS,Australia,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,17.385,1990
AUS,Australia,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,17.391,1991
AUS,Australia,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,17.398,1992
AUS,Australia,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,17.404,1993
AUS,Australia,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,17.410,1994
AUS,Australia,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,18.972,1995
AUS,Australia,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,19.558,1996
AUS,Australia,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,20.563,1997
AUS,Australia,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,20.731,1998
AUS,Australia,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,20.899,1999
AUS,Australia,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,21.067,2000
AUS,Australia,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,21.235,2001
AUS,Australia,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,21.403,2002
AUS,Australia,eys_f,"Expected Years of Schooling, female (years)",GDI,Gender Development Index,21.571,2003
